UC;Nome;Aprovados;Reprovados;NaoAvaliados;Abandonos;Inscritos;Curso;Semestre;Ano
425105;Introdução às Bases de Dados;2;0;0;0;2;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;1;2016
425105;Introdução às Bases de Dados;1;1;2;0;4;Curso de Especialização em Informática;1;2016
425105;Introdução às Bases de Dados;2;0;0;0;2;Curso Livre em Regime Livre;1;2016
425105;Introdução às Bases de Dados;1;0;0;0;1;Licenciatura Bolonha em Engenharia Geográfica;1;2016
425105;Introdução às Bases de Dados;2;0;0;0;2;Mestrado Bolonha em Bioestatística;1;2016
425105;Introdução às Bases de Dados;16;1;2;0;19;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425105;Introdução às Bases de Dados;2;0;0;0;2;Mestrado Bolonha em Engenharia Geográfica;1;2016
425105;Introdução às Bases de Dados;1;0;1;0;2;Mestrado Bolonha em Estatística e Investigação Operacional;1;2016
425105;Introdução às Bases de Dados;1;1;2;0;4;Mestrado Bolonha em Informática;1;2016
425105;Introdução às Bases de Dados;2;0;1;0;3;Mestrado Bolonha em Matemática Aplicada à Economia e Gestão;1;2016
425105;Introdução às Bases de Dados;9;1;0;0;10;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2016
425113;Computação Móvel;2;0;0;0;2;Curso Livre em Erasmus;1;2016
425113;Computação Móvel;3;0;0;0;3;Licenciatura Bolonha em Engenharia Informática;1;2016
425113;Computação Móvel;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425113;Computação Móvel;25;0;0;0;25;Mestrado Bolonha em Engenharia Informática;1;2016
425113;Computação Móvel;5;2;0;0;7;Mestrado Bolonha em Informática;1;2016
425117;Design de Software;1;0;1;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425117;Design de Software;16;1;0;0;17;Mestrado Bolonha em Engenharia Informática;1;2016
425117;Design de Software;2;0;0;0;2;Mestrado Bolonha em Informática;1;2016
425121;Fundamentos de Segurança;0;1;0;0;1;Curso de Especialização em Informática;1;2016
425121;Fundamentos de Segurança;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425121;Fundamentos de Segurança;1;0;0;0;1;Mestrado Bolonha em Informática;1;2016
425122;Gestão de Projetos;1;0;2;0;3;Curso de Especialização em Informática;1;2016
425122;Gestão de Projetos;2;0;0;0;2;Curso Livre em Erasmus;1;2016
425122;Gestão de Projetos;4;0;0;0;4;Licenciatura Bolonha em Engenharia Informática;1;2016
425122;Gestão de Projetos;6;0;0;0;6;Mestrado Bolonha em Engenharia Geográfica;1;2016
425122;Gestão de Projetos;20;0;0;0;20;Mestrado Bolonha em Engenharia Informática;1;2016
425122;Gestão de Projetos;0;0;1;0;1;Mestrado Bolonha em Informática;1;2016
425122;Gestão de Projetos;3;0;1;0;4;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2016
425123;Gestão do Conhecimento;1;0;0;0;1;Curso de Especialização em Informática;1;2016
425123;Gestão do Conhecimento;2;0;0;0;2;Curso Livre em Erasmus;1;2016
425123;Gestão do Conhecimento;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425123;Gestão do Conhecimento;1;0;0;0;1;Mestrado Bolonha em Engenharia Informática;1;2016
425123;Gestão do Conhecimento;0;0;1;0;1;Mestrado Bolonha em Gestão de Informação;1;2016
425126;Jogos Interativos;1;0;0;0;1;Curso Livre em Regime Livre;1;2016
425126;Jogos Interativos;3;0;0;0;3;Licenciatura Bolonha em Engenharia Informática;1;2016
425126;Jogos Interativos;8;0;0;0;8;Mestrado Bolonha em Engenharia Informática;1;2016
425126;Jogos Interativos;5;0;0;0;5;Mestrado Bolonha em Informática;1;2016
425132;Programação em Sistemas Distribuídos;0;0;2;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425132;Programação em Sistemas Distribuídos;1;1;0;0;2;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425132;Programação em Sistemas Distribuídos;7;0;1;0;8;Mestrado Bolonha em Engenharia Informática;1;2016
425132;Programação em Sistemas Distribuídos;2;0;0;0;2;Mestrado Bolonha em Informática;1;2016
425133;Prospeção e Descoberta da Informação;4;0;0;0;4;Curso Livre em Erasmus;1;2016
425133;Prospeção e Descoberta da Informação;1;0;0;0;1;Mestrado Bolonha em Gestão de Informação;1;2016
425133;Prospeção e Descoberta da Informação;3;0;1;0;4;Mestrado Bolonha em Informática;1;2016
425133;Prospeção e Descoberta da Informação;2;0;0;0;2;Mestrado Bolonha em Segurança Informática;1;2016
425133;Prospeção e Descoberta da Informação;1;0;0;0;1;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2016
425141;Segurança de Software;2;0;0;0;2;Curso Livre em Erasmus;1;2016
425141;Segurança de Software;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425141;Segurança de Software;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425141;Segurança de Software;3;0;0;0;3;Mestrado Bolonha em Engenharia Informática;1;2016
425141;Segurança de Software;1;0;1;0;2;Mestrado Bolonha em Informática;1;2016
425146;Sistemas Multi-Agente;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425146;Sistemas Multi-Agente;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425146;Sistemas Multi-Agente;2;0;1;0;3;Mestrado Bolonha em Engenharia Informática;1;2016
425146;Sistemas Multi-Agente;3;0;0;0;3;Mestrado Bolonha em Informática;1;2016
425149;Software Fiável;5;1;0;0;6;Mestrado Bolonha em Engenharia Informática;1;2016
425152;Tecnologia de Bases de Dados;0;0;1;0;1;Curso de Especialização em Informática;1;2016
425152;Tecnologia de Bases de Dados;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425152;Tecnologia de Bases de Dados;1;0;0;0;1;Licenciatura Bolonha em Matemática Aplicada;1;2016
425152;Tecnologia de Bases de Dados;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425152;Tecnologia de Bases de Dados;18;0;0;0;18;Mestrado Bolonha em Engenharia Informática;1;2016
425152;Tecnologia de Bases de Dados;3;0;0;0;3;Mestrado Bolonha em Estatística e Investigação Operacional;1;2016
425152;Tecnologia de Bases de Dados;2;1;3;0;6;Mestrado Bolonha em Informática;1;2016
425152;Tecnologia de Bases de Dados;1;0;0;0;1;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2016
425153;Tecnologias de Middleware;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425153;Tecnologias de Middleware;10;0;0;0;10;Mestrado Bolonha em Engenharia Informática;1;2016
425153;Tecnologias de Middleware;4;0;0;0;4;Mestrado Bolonha em Informática;1;2016
425157;Tolerância a Faltas Distribuída;1;0;1;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425157;Tolerância a Faltas Distribuída;5;1;0;0;6;Mestrado Bolonha em Engenharia Informática;1;2016
425157;Tolerância a Faltas Distribuída;1;0;0;0;1;Mestrado Bolonha em Informática;1;2016
425157;Tolerância a Faltas Distribuída;11;4;3;0;18;Mestrado Bolonha em Segurança Informática;1;2016
425160;Vida Artificial;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425160;Vida Artificial;2;0;2;0;4;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425160;Vida Artificial;1;0;0;0;1;Mestrado Bolonha em Engenharia Informática;1;2016
425160;Vida Artificial;1;0;0;0;1;Mestrado Bolonha em Informática;1;2016
425160;Vida Artificial;2;0;0;0;2;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2016
425161;Visualização;1;0;0;0;1;Curso de Especialização em Informática;1;2016
425161;Visualização;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425161;Visualização;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425161;Visualização;1;0;0;0;1;Mestrado Bolonha em Bioestatística;1;2016
425161;Visualização;1;0;0;0;1;Mestrado Bolonha em Engenharia Informática;1;2016
425161;Visualização;1;0;0;0;1;Mestrado Bolonha em Gestão de Informação;1;2016
425161;Visualização;1;2;3;0;6;Mestrado Bolonha em Informática;1;2016
425161;Visualização;0;0;3;0;3;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2016
425161;Visualização;11;0;1;0;12;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2016
425173;Introdução à Segurança Informática;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425173;Introdução à Segurança Informática;13;1;1;0;15;Mestrado Bolonha em Segurança Informática;1;2016
425179;Sistemas de Software Seguros;15;0;1;0;16;Mestrado Bolonha em Segurança Informática;1;2016
425199;Computação Natural;0;0;2;0;2;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425199;Computação Natural;1;0;0;0;1;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2016
425203;Fundamentos de Programação;2;0;1;0;3;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;1;2016
425203;Fundamentos de Programação;1;0;2;0;3;Curso de Especialização em Informática;1;2016
425203;Fundamentos de Programação;1;0;0;0;1;Licenciatura Bolonha em Biologia;1;2016
425203;Fundamentos de Programação;1;0;0;0;1;Licenciatura Bolonha em Estatística Aplicada;1;2016
425203;Fundamentos de Programação;13;0;1;0;14;Mestrado Bolonha em Bioestatística;1;2016
